epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,114.03,1.16955,0.41811,2.00988,1.44717,0,0.89427,0.3375,0.39815,0.2298,0.89427,0.3375,0.39815,0.23196,1.33036,0.4334,1.61649,1.69306,0,0.000557,0.000557,0.000557
30,117.846,1.23723,0.38604,2.13955,1.52381,0,0.93071,0.27432,0.40184,0.22974,0.93071,0.27432,0.40184,0.23746,1.31039,0.40001,1.50147,1.65214,0,0.00053225,0.00053225,0.00053225
31,121.43,1.20823,0.37424,2.18457,1.50903,0,0.91351,0.34813,0.44018,0.26667,0.91351,0.34813,0.44018,0.27948,1.21515,0.39058,1.531,1.53382,0,0.0005075,0.0005075,0.0005075
32,124.942,1.20186,0.46702,2.14427,1.45413,0,0.91809,0.35981,0.46604,0.29458,0.91809,0.35981,0.46604,0.3042,1.16791,0.38279,1.31681,1.37499,0,0.00048275,0.00048275,0.00048275
33,128.472,1.08698,0.33938,1.96019,1.36469,0,0.87308,0.37852,0.50527,0.32486,0.87308,0.37852,0.50527,0.33138,1.15196,0.38343,1.19949,1.33667,0,0.000458,0.000458,0.000458
34,132,1.21256,0.46097,2.03872,1.45456,0,0.94653,0.32122,0.4923,0.32169,0.94653,0.32122,0.4923,0.33126,1.21269,0.39838,1.19107,1.39689,0,0.00043325,0.00043325,0.00043325
35,135.512,1.19359,0.35723,1.89246,1.45055,0,0.93653,0.32334,0.47364,0.30774,0.93653,0.32334,0.47364,0.31576,1.26735,0.40364,1.28901,1.46604,0,0.0004085,0.0004085,0.0004085
36,139.284,1.07292,0.46266,1.8396,1.36622,0,0.92838,0.3125,0.43586,0.27557,0.92838,0.3125,0.43586,0.28406,1.23786,0.39436,1.36445,1.49449,0,0.00038375,0.00038375,0.00038375
37,143.035,1.0789,0.38205,1.98082,1.38283,0,0.96748,0.31367,0.41884,0.26366,0.96748,0.31367,0.41884,0.27005,1.14949,0.3814,1.23332,1.44594,0,0.000359,0.000359,0.000359
38,146.634,1.08657,0.37013,1.92168,1.3562,0,0.97335,0.3,0.42329,0.26951,0.97335,0.3,0.42329,0.2766,1.15229,0.37755,1.19254,1.45312,0,0.00033425,0.00033425,0.00033425
39,150.277,1.13336,0.54223,1.91884,1.3844,0,0.96909,0.3125,0.44184,0.27869,0.96909,0.3125,0.44184,0.28546,1.1788,0.37637,1.18458,1.42581,0,0.0003095,0.0003095,0.0003095
40,153.986,1.08036,0.41408,1.89033,1.38173,0,0.88551,0.41487,0.45371,0.28306,0.87542,0.4018,0.45024,0.28259,1.22936,0.37519,1.15068,1.41313,0,0.00028475,0.00028475,0.00028475
41,168.805,0.90326,0.29635,2.0737,1.30626,0,0.8881,0.3875,0.45973,0.28896,0.8881,0.3875,0.45973,0.29751,1.33234,0.38776,1.25675,1.45104,0,0.00026,0.00026,0.00026
42,172.841,0.87486,0.32795,1.97376,1.32433,0,0.94696,0.33916,0.4313,0.28203,0.94696,0.33916,0.4313,0.28466,1.47429,0.39799,1.46509,1.53174,0,0.00023525,0.00023525,0.00023525
43,177.325,0.82508,0.30527,1.93145,1.24045,0,0.92904,0.28624,0.40678,0.26351,0.92904,0.28624,0.40678,0.27045,1.56095,0.39562,1.54558,1.57695,0,0.0002105,0.0002105,0.0002105
44,181.152,0.83035,0.288,1.84268,1.2963,0,0.9539,0.28981,0.49993,0.33289,0.9539,0.28981,0.49993,0.35814,1.55356,0.395,1.54526,1.57779,0,0.00018575,0.00018575,0.00018575
45,184.79,0.80662,0.2952,1.80322,1.22496,0,0.9733,0.33319,0.53159,0.35719,0.9733,0.33319,0.53159,0.37563,1.43525,0.38831,1.50242,1.58312,0,0.000161,0.000161,0.000161
46,188.404,0.74013,0.31157,1.68223,1.16433,0,0.92359,0.34449,0.55652,0.36851,0.92359,0.34449,0.55764,0.38962,1.52054,0.38618,1.3841,1.61373,0,0.00013625,0.00013625,0.00013625
47,192.292,0.79064,0.31254,1.69256,1.23338,0,0.6343,0.43294,0.69703,0.47317,0.6343,0.43294,0.69703,0.50707,1.55657,0.38272,1.4926,1.63869,0,0.0001115,0.0001115,0.0001115
48,195.906,0.7303,0.30149,1.60111,1.16862,0,0.64033,0.44155,0.6951,0.47487,0.64033,0.44155,0.6951,0.48946,1.55043,0.38259,1.62556,1.57802,0,8.675e-05,8.675e-05,8.675e-05
49,199.4,0.72452,0.27951,1.60212,1.1517,0,0.63469,0.43951,0.57333,0.39095,0.63469,0.43951,0.57333,0.40242,1.45449,0.38249,1.70678,1.541,0,6.2e-05,6.2e-05,6.2e-05
50,203.227,0.73672,0.34096,1.62392,1.18304,0,0.6332,0.43595,0.57559,0.3877,0.6332,0.43595,0.57559,0.39889,1.41471,0.38159,1.67671,1.52084,0,3.725e-05,3.725e-05,3.725e-05
